,10대,20대,30대,40대,50대,60대 이상,표준편차
라든지,8.641548565502938e-05,9.354536950420954e-05,0.00015667841754798275,0.0004082632481424022,0.0003894384297842511,8.461668641056016e-05,0.0001540290228190123
이서,0.00017283097131005876,0.00028063610851262864,0.0005483744614179397,0.0002449579488854413,0.00023366305787055067,0.00016923337282112033,0.00014071368372127038
로서,0.00025924645696508814,9.354536950420954e-05,0.00015667841754798275,0.00032661059851392176,0.0003894384297842511,0.0004230834320528008,0.0001302782709845397
든,8.641548565502938e-05,9.354536950420954e-05,0.0003916960438699569,0.0002449579488854413,0.00023366305787055067,8.461668641056016e-05,0.00012388920761890866
아,0.0,0.0,0.0003133568350959655,0.00016330529925696088,0.00015577537191370044,8.461668641056016e-05,0.00011882139911766598
라든가,0.00025924645696508814,9.354536950420954e-05,0.00015667841754798275,8.165264962848044e-05,0.0003894384297842511,0.0002538500592316805,0.00011774122150882193
으로서,0.0003456619426201175,0.00018709073900841907,0.0,0.00016330529925696088,0.00015577537191370044,0.00016923337282112033,0.00010981508873902496
로써,8.641548565502938e-05,0.0,0.0,0.00016330529925696088,0.0,0.0002538500592316805,0.00010612462201242429
니,0.0,0.0,0.0,0.0002449579488854413,0.0,0.0,0.00010000366386801575
이라든가,8.641548565502938e-05,0.0,0.00023501762632197415,8.165264962848044e-05,7.788768595685022e-05,0.0002538500592316805,9.988008397456032e-05
마저,0.0,9.354536950420954e-05,0.0,0.0002449579488854413,0.0,0.0,9.965712898169806e-05
보고,0.0,0.0,0.00015667841754798275,0.0002449579488854413,0.00015577537191370044,8.461668641056016e-05,9.724031090926399e-05
한테서,0.0,9.354536950420954e-05,0.0,0.0002449579488854413,0.0,8.461668641056016e-05,9.599655558396133e-05
에게서,0.0,0.0,0.00023501762632197415,0.0,0.0,0.0,9.594554417482092e-05
서부터,0.0,9.354536950420954e-05,0.0,0.0,0.00023366305787055067,0.0,9.539909322935739e-05
에서부터,0.0,9.354536950420954e-05,0.0,0.0,0.0,0.00016923337282112033,7.194705376744446e-05
